graph_name,nodes,edges,radius,diameter,density,avg_cl_coeff,avg_degree,best_score,best_algorithm
rp_0.3_0.7_4_10_90,174,6304,2,2,0.41884260182047706,0.4418828757645078,72.45977011494253,1.0,K-means
rp_0.3_0.7_4_10_100,235,11363,2,2,0.4132751409347154,0.43737131959253206,96.70638297872341,1.0,K-means
rp_0.3_0.7_5_10_20,69,909,2,2,0.3874680306905371,0.39487305757947133,26.347826086956523,0.796498111319,K-means
rp_0.3_0.7_5_10_30,102,1961,2,2,0.38070277615996895,0.3905619640699232,38.450980392156865,1.0,K-means
rp_0.3_0.7_5_10_40,110,2310,2,2,0.3853211009174312,0.3937245851726023,42.0,0.873975850623,Spectral
rp_0.3_0.7_5_10_50,157,4924,2,2,0.4020904785235995,0.42083551461192503,62.72611464968153,0.901073967878,Agglomerative
rp_0.3_0.7_5_10_60,192,7101,2,2,0.38727094240837695,0.4024568002261289,73.96875,0.925433515564,Spectral
rp_0.3_0.7_5_10_70,210,8454,2,2,0.3852358168147642,0.4000331050260074,80.51428571428572,0.989744359427,Spectral
rp_0.3_0.7_5_10_80,166,5363,2,2,0.39160277473530486,0.40607722980918415,64.6144578313253,0.987277126576,K-means
rp_0.3_0.7_5_10_90,250,11865,2,2,0.3812048192771084,0.39779482037914415,94.92,1.0,K-means
rp_0.3_0.7_5_10_100,235,10653,2,2,0.38745226404800875,0.4028993947736838,90.66382978723404,1.0,K-means
rp_0.3_0.7_6_10_30,145,3870,2,2,0.3706896551724138,0.38358989480003647,53.37931034482759,0.876410298048,Spectral
rp_0.3_0.7_6_10_40,126,3010,2,2,0.38222222222222224,0.39988815260574795,47.77777777777778,0.777370850813,Agglomerative
rp_0.3_0.7_6_10_50,169,5309,2,2,0.37397858551704705,0.3885629261982914,62.828402366863905,0.857351775553,K-means
rp_0.3_0.7_6_10_60,209,8191,2,2,0.37684026499815976,0.3945302040715507,78.38277511961722,0.936946492454,Spectral
rp_0.3_0.7_6_10_70,222,9472,2,2,0.3861236802413273,0.4058759287406058,85.33333333333333,0.963172679281,Spectral
rp_0.3_0.7_6_10_80,304,17211,2,2,0.3736972381448671,0.3875498131784661,113.23026315789474,0.96892357122,Spectral
rp_0.3_0.7_6_10_90,358,23714,2,2,0.3710936888721969,0.38329135356424776,132.4804469273743,0.994504219125,K-means
rp_0.3_0.7_6_10_100,409,30913,2,2,0.37049954456110074,0.383497184454115,151.1638141809291,1.0,K-means
rp_0.3_0.7_7_10_30,153,4187,2,2,0.36007911936704506,0.36801424015456796,54.73202614379085,0.788980658873,Spectral
rp_0.3_0.7_7_10_40,183,5895,2,2,0.3539902720230589,0.3631263842369817,64.42622950819673,0.885969255844,Spectral
rp_0.3_0.7_7_10_50,207,7674,2,2,0.3599268327001548,0.37150682929512846,74.14492753623189,0.876945618515,K-means
rp_0.3_0.7_7_10_60,318,18069,2,2,0.3584905660377358,0.3683806159772872,113.64150943396227,1.0,K-means
rp_0.3_0.7_7_10_70,242,10844,2,2,0.37186653406947634,0.3856853238740553,89.6198347107438,0.817523745959,K-means
rp_0.3_0.7_7_10_80,341,21063,2,2,0.3633431085043988,0.37544274597199695,123.5366568914956,0.994100949699,K-means
rp_0.3_0.7_7_10_90,292,15772,2,2,0.371228169279292,0.3850160890999752,108.02739726027397,0.899917369102,Spectral
rp_0.3_0.7_7_10_100,388,27944,2,2,0.3721995791043981,0.3853416590316142,144.04123711340208,0.93681174899,Spectral
rp_0.3_0.7_8_10_40,156,4240,2,2,0.3507030603804797,0.3602187183497743,54.35897435897436,0.768082726186,Spectral
rp_0.3_0.7_8_10_50,234,9730,2,2,0.3569201423278677,0.36662738899137354,83.16239316239316,0.884265840564,Spectral
rp_0.3_0.7_8_10_60,327,18839,2,2,0.3534455263503499,0.36184685863501087,115.22324159021407,0.886758113744,Spectral
